Código (SKU),Descrição,Unidade,Preço,Situação,Largura embalagem,Altura embalagem,Comprimento embalagem,URL imagem 1,URL imagem 2,URL imagem 3,URL imagem 4,URL imagem 5,URL imagem 6,Categoria,destaque,exemplo
LD21890038,GODZILLA,PÇ,16,Ativo,10,15,5,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/b49f555cf555b97f65a43f994fa031bc.jpg,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/d034c3363b876ed66a867f1ea1d08bf1.jpg,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/7603c30957d63dafa6e8955de251f799.jpg,,,,BRINQUEDOS,,
LD4530012,LUMINARIA CORAL REEF 15CM,PÇ,69,Ativo,17,15,17,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/6db4bda7f72ca179901f46a394edc4ea.png,,,,,,DECORACAO,,
LD4530013,LUMINARIA CORAL REEF 20CM,PÇ,109,Ativo,23,20,23,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/81174cdf5f51ba8e2827bf60b03bd847.jpg,,,,,,DECORACAO,,
LD4530015,LUMINARIA POLVO 24CM,PÇ,72,Ativo,18,24,19,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/3c6c4fdea492ff85df722f4d46af612f.png,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/e20d1bf97dc64093ee1967862c208baf.png,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/0c865f529c74b9d05c884a5fe91dea2e.png,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/2b30ff3af10a1c604f773e6201484a4f.png,,,DECORACAO,,
LD21890065,MAMUTE,UN,15,Ativo,0,0,0,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/1611cfce4fa107568d8b71f2965f8e8d.jpg,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/324720509889b0fc241ec7b16707fb47.jpg,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/73a4a95b11e2904f46c1c70c6ea5bc2d.jpg,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/95d31da399caf894273c54e8b871a533.jpg,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/dd76f1d5cb3e839748ae3067c4e9ea15.jpg,,BRINQUEDOS,,
LD4530008,PEIXINHO CASAL 2 PC,PÇ,35,Ativo,5,12,11,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/d0ac54eda68a34463fcc01fb26d3b2c0.jpg,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/f2f88ed7bc11dcb8a82ad731ba4f2bae.jpg,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/5d361355876fc25fa89c9031a8b824a8.jpg,,,,DECORACAO,,
LD4530009,PORTA COPOS ONAS EM LINHAS 3 PC,PÇ,23,Ativo,3,10,10,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/eb726420ffbc704ab3b16e0264cd1bc3.jpg,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/1bdbe14b19b0b73cf53cdc75a7349679.jpg,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/db593a680d2c40c65b0833a5b73f2306.jpg,,,,DECORACAO,,
LD21890052,PORTA FIGURINHAS COPA DO MUNDO MESSI MAIS DE 200 FIGURINHAS,UN,49,Ativo,10,12,5,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/9932abb59cf2bf011af40fe075f34297.png,,,,,,BRINQUEDOS,,
LD4530010,PORTA JOIAS CALDA BALEIA,PÇ,17,Ativo,10,10,10,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/215e4895657ba4244f5fb831655cb35c.jpg,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/6a245d58c7aecdd4d01db3ba7f4e1e6a.jpg,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/347912ca0fead0bd6e327cdf332cf4e4.jpg,,,,DECORACAO,,
LD21890032,REX,PÇ,13,Ativo,10,15,10,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/12416a21280f5afe0d051ab76d6c75c5.jpg,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/46f25ce5152d1bd136b9de4e2017f5db.jpg,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/1d2ce8ea62530ff0c90dc50890df7342.jpg,,,,BRINQUEDOS,,
LD21890021,ROBOZINHO,PÇ,13,Ativo,0,0,0,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/0a69811b08f52793a994aeea390d12d8.jpg,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/3bc62aa8f8e3f817a08bd77c62907681.jpg,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/d6ed0dd0843973353a8c4a7f253520c8.jpg,,,,BRINQUEDOS,,
LD21890066,SEREIA,UN,14,Ativo,0,0,0,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/9e8810c93711121f4ce02187465fbf24.jpg,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/6b428fa1e30143c84a53cff085a4e546.jpg,,,,,BRINQUEDOS,,
LD21890030,TUBARÃO ESQUELETO,PÇ,15,Ativo,10,15,5,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/5407b3f0bf9886db4bcd77009c1d91e6.jpg,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/79c9b5961d8a41ad81b94a99bea79359.jpg,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/c70ad2858278311822d506cee134328b.jpg,,,,BRINQUEDOS,,
LD4530011,VELEIRO LUXO,PÇ,34,Ativo,4,21,17,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/2af9e7c9b0db72c59a242570b6e55b16.jpg,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/de7d29d23556ae2c9ff14e05e812ab47.jpg,https://s3.amazonaws.com/tiny-anexos-us/erp/MTI2NDE5OTg4MQ/3328a57b067cdb4539c02185ee31fd5b.jpg,,,,DECORACAO,,
